Ward,No income,Bracket A_R 1 to R 400_,Bracket B_R 401 to R 800_,Bracket C_R 801 to R 1 600_,Bracket D_R 1 601 to R 3 200_,Bracket E_R 3 201 to R 6 400_,Bracket F_R 6 401 to R 12 800_,Bracket G_R 12 801 to R 25 600_,Bracket H_R 25 601 to R 51 200_,Bracket I_R 51 201 to R 102 400_,Bracket J_R 102 401 to R 204 800_,Bracket K_R 204 801 or more_
119,17.6604345,8.6771556,5.1264479,6.8289182,8.070997,7.857109,12.2374956,12.0541718,7.4077145,3.7807794,1.6692221,2.5637055
118,15.6411768,6.3201081,4.31962,7.7961734,10.1608203,8.6698667,7.9139919,7.3714791,6.281891,4.257452,2.7224972,2.3676894
117,11.2195829,2.7119593,2.5036584,4.5165108,7.5958225,6.2272,6.2285696,8.7623038,9.7340032,10.1735553,6.2764757,4.5681629
116,16.9923893,9.4590951,4.9672892,7.6609597,9.326793,7.6312322,5.6852605,2.9393337,1.686122,1.1401633,1.21972,1.3673883
115,16.9070537,3.3043027,3.4277911,5.591342,7.0563002,6.5502049,10.8296737,13.475742,13.7726125,9.3488553,4.9337005,4.1661133
114,5.59671,2.9124189,2.4021893,3.2674108,3.8805374,2.914236,4.687035,6.771461,6.4097051,4.203137,2.2608991,1.9351129
113,17.4200405,9.5426901,5.2759219,9.5934238,13.2218218,9.7631105,5.9448,3.280168,2.41097,1.4568585,1.4400085,2.0187257
112,15.8654691,3.0923525,2.9093166,4.8802234,4.9509427,5.3990164,10.3207855,14.5823832,13.0090457,9.0510922,5.4140199,4.2391211
111,23.3509869,10.9219423,6.448615,9.4283135,12.1483209,13.3370228,13.216892,10.3956087,3.5022248,2.2881239,1.995837,2.3308617
110,23.323577,11.9364875,6.6189194,9.1814929,11.6077237,9.5864925,7.6930763,5.7591086,3.5458926,2.2781871,1.7544946,1.5183196
109,10.4887546,4.4717339,2.7112533,4.5608476,6.5170054,5.1875629,5.7767571,7.0422335,7.8415392,7.181151,3.7419259,2.8243917
108,13.783223,6.8314483,4.2720197,6.4166493,7.4056785,6.2035273,4.5604594,2.9980237,2.1450165,1.2910275,1.337087,1.16794
107,11.8632958,4.5580692,3.2879262,4.8771869,6.3751415,5.8704336,4.4243521,2.4340527,1.2722109,1.1296167,1.1157,1.5755067
106,12.7424485,2.8703041,3.2357979,5.0131107,7.9355676,6.3359011,7.7447498,11.0156664,11.0725451,9.2632327,6.2478961,4.6481464
105,29.8834123,12.8970081,5.4442186,11.0786945,13.7130781,13.074986,9.6349298,6.9330546,3.1836239,2.899475,2.346105,3.2417944
104,14.6508449,3.1198653,3.2365144,6.0252022,8.5902732,8.1194034,9.7799333,11.4576536,10.5159261,7.7911178,5.3640046,4.6778804
103,14.8409423,3.1105584,3.547238,5.0379842,10.4180107,7.7310459,9.296957,11.7757021,11.7893339,10.4575019,7.5332663,5.8522642
102,14.8187844,2.9510281,3.7138566,5.8080431,8.4079203,7.9556947,10.0607909,10.8612167,11.0659538,8.6398135,4.91284,4.1379247
101,15.9959608,3.7192329,3.2984941,5.183905,6.4369686,7.6882307,11.1476773,14.4917641,12.7200895,8.3046817,3.4635076,3.4507031
100,19.6327584,9.4302043,5.8705035,8.3489609,11.4322571,11.6119494,12.8241803,10.701791,7.7774801,3.7643884,1.7597807,3.2389862
